Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2015,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Infrastructure and connectivity,Index: 1 = maximum restriction,0.08
2014,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Infrastructure and connectivity,Index: 1 = maximum restriction,0.08
2020,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Infrastructure and connectivity,Index: 1 = maximum restriction,0.08
2019,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Infrastructure and connectivity,Index: 1 = maximum restriction,0.08
2024,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2023,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2022,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2021,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2018,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2017,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2016,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2015,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2014,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2020,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2019,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Indicator DSTRI,Index: 1 = maximum restriction,0.1
2024,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Electronic transactions,Index: 1 = maximum restriction,0.02
2023,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Electronic transactions,Index: 1 = maximum restriction,0.02
2022,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Electronic transactions,Index: 1 = maximum restriction,0.02
2021,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Electronic transactions,Index: 1 = maximum restriction,0.02
2018,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Electronic transactions,Index: 1 = maximum restriction,0.02
2017,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Electronic transactions,Index: 1 = maximum restriction,0.02
2016,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Electronic transactions,Index: 1 = maximum restriction,0.02
2015,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Electronic transactions,Index: 1 = maximum restriction,0.02
2014,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Electronic transactions,Index: 1 = maximum restriction,0.02
2020,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Electronic transactions,Index: 1 = maximum restriction,0.02
2019,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Electronic transactions,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Payment system,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Payment system,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Payment system,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Payment system,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Payment system,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Payment system,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Payment system,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Payment system,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Payment system,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Payment system,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Intellectual property rights,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Intellectual property rights,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Intellectual property rights,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Intellectual property rights,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Intellectual property rights,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Intellectual property rights,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Intellectual property rights,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Intellectual property rights,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Intellectual property rights,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Intellectual property rights,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,NZL,New Zealand,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2023,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2022,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2021,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2018,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2017,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Indicator DSTRI,Index: 1 = maximum restriction,0.04
2016,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Indicator DSTRI,Index: 1 = maximum restriction,0.04
2015,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Indicator DSTRI,Index: 1 = maximum restriction,0.04
2014,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Indicator DSTRI,Index: 1 = maximum restriction,0.04
2020,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2019,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Indicator DSTRI,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Electronic transactions,Index: 1 = maximum restriction,0.02
2023,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Electronic transactions,Index: 1 = maximum restriction,0.02
2022,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Electronic transactions,Index: 1 = maximum restriction,0.02
2021,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Electronic transactions,Index: 1 = maximum restriction,0.02
2018,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Electronic transactions,Index: 1 = maximum restriction,0.02
2017,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Electronic transactions,Index: 1 = maximum restriction,0.02
2016,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Electronic transactions,Index: 1 = maximum restriction,0.02
2015,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Electronic transactions,Index: 1 = maximum restriction,0.02
2014,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Electronic transactions,Index: 1 = maximum restriction,0.02
2020,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Electronic transactions,Index: 1 = maximum restriction,0.02
2019,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Electronic transactions,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Payment system,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Payment system,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Payment system,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Payment system,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Payment system,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Payment system,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Payment system,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Payment system,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,NOR,Norway,Payment system,Index: 1 = maximum restriction,0
